   Município;Região Administrativa;Região de Governo;Região Metropolitana;
"Itirapina";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Itirapuã";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Itobi";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Itu";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Itupeva";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Ituverava";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Jaborandi";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Jaboticabal";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Jacareí";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Jaci";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Jacupiranga";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Jaguariúna";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Jales";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Jambeiro";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Jandira";"-";"-";"Região Metropolitana de São Paulo";
"Jardinópolis";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Jarinu";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Jaú";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Jeriquara";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Joanópolis";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"João Ramalho";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"José Bonifácio";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Júlio Mesquita";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Jumirim";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Jundiaí";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Junqueirópolis";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Juquiá";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Juquitiba";"-";"-";"Região Metropolitana de São Paulo";
"Lagoinha";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Laranjal Paulista";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Lavínia";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Lavrinhas";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Leme";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Lençóis Paulista";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Limeira";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Lindóia";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Lins";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Lorena";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Lourdes";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Louveira";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Lucélia";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Lucianópolis";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Luís Antônio";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Luiziânia";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Lupércio";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Lutécia";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Macatuba";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Macaubal";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Macedônia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Magda";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Mairinque";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Mairiporã";"-";"-";"Região Metropolitana de São Paulo";
"Manduri";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Marabá Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Maracaí";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Marapoama";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Mariápolis";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Marília";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
